Age, Income, Student, CreditRating, BuyiPhone
Young, High, No, Fair, No
Young, High, No, Excellent, No
Medium, High, No, Fair, Yes
Old, Medium, No, Fair, Yes
Old, Low, Yes, Fair, Yes
Old, Low, Yes, Excellent, No
Medium, Low, Yes, Excellent, Yes
Young, Medium, No, Fair, No
Young, Low, Yes, Fair, Yes
Old, Medium, Yes, Fair, Yes
Young, Medium, Yes, Excellent, Yes
Medium, Medium, No, Excellent, Yes
Medium, High, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, Medium, Yes, Fair, Yes
