Age, Income, Student, CreditRating, BuyiPhone
Young, High, Yes, Fair, Yes
Young, Medium, No, Excellent, Yes
Medium, High, No, Fair, Yes
Old, Medium, No, Fair, No
Old, Low, No, Fair, No
Old, Low, No, Excellent, No
Medium, Low, Yes, Excellent, No
Young, Medium, No, Fair, No
Young, Low, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, Medium, Yes, Excellent, Yes
Medium, Medium, No, Excellent, Yes
Medium, High, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, High, Yes, Fair, Yes
Young, Medium, No, Excellent, Yes
Medium, High, No, Fair, Yes
Old, Medium, No, Fair, No
Old, Low, No, Fair, No
Old, Low, No, Excellent, No
Medium, Low, Yes, Excellent, No
Young, Medium, No, Fair, No
Young, Low, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, Medium, Yes, Excellent, Yes
Medium, Medium, No, Excellent, Yes
Medium, High, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, High, Yes, Fair, Yes
Young, Medium, No, Excellent, Yes
Medium, High, No, Fair, Yes
Old, Medium, No, Fair, No
Old, Low, No, Fair, No
Old, Low, No, Excellent, No
Medium, Low, Yes, Excellent, No
Young, Medium, No, Fair, No
Young, Low, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, Medium, Yes, Excellent, Yes
Medium, Medium, No, Excellent, Yes
Medium, High, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, High, Yes, Fair, Yes
Young, Medium, No, Excellent, Yes
Medium, High, No, Fair, Yes
Old, Medium, No, Fair, No
Old, Low, No, Fair, No
Old, Low, No, Excellent, No
Medium, Low, Yes, Excellent, No
Young, Medium, No, Fair, No
Young, Low, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, Medium, Yes, Excellent, Yes
Medium, Medium, No, Excellent, Yes
Medium, High, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, High, Yes, Fair, Yes
Young, Medium, No, Excellent, Yes
Medium, High, No, Fair, Yes
Old, Medium, No, Fair, No
Old, Low, No, Fair, No
Old, Low, No, Excellent, No
Medium, Low, Yes, Excellent, No
Young, Medium, No, Fair, No
Young, Low, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, Medium, Yes, Excellent, Yes
Medium, Medium, No, Excellent, Yes
Medium, High, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, High, Yes, Fair, Yes
Young, Medium, No, Excellent, Yes
Medium, High, No, Fair, Yes
Old, Medium, No, Fair, No
Old, Low, No, Fair, No
Old, Low, No, Excellent, No
Medium, Low, Yes, Excellent, No
Young, Medium, No, Fair, No
Young, Low, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, Medium, Yes, Excellent, Yes
Medium, Medium, No, Excellent, Yes
Medium, High, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, High, Yes, Fair, Yes
Young, Medium, No, Excellent, Yes
Medium, High, No, Fair, Yes
Old, Medium, No, Fair, No
Old, Low, No, Fair, No
Old, Low, No, Excellent, No
Medium, Low, Yes, Excellent, No
Young, Medium, No, Fair, No
Young, Low, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, Medium, Yes, Excellent, Yes
Medium, Medium, No, Excellent, Yes
Medium, High, Yes, Fair, Yes
Old, Medium, No, Excellent, No
Young, Medium, Yes, Fair, Yes
Old, High, No, Excellent, No
Old, Low, No, Fair, No
Medium, Low, No, Excellent, No
Medium, High, No, Fair, Yes
Young, Medium, Yes, Fair, Yes
